cas_number,agent,iarc_group,year
108-45-2,meta-Phenylenediamine,3,1987
108-46-3,Resorcinol,3,1999
108-60-1,Bis(2-chloro-1-methylethyl)ether,3,1999
108-78-1,Melamine,2B,
108-88-3,Toluene,3,1999
108-94-1,Cyclohexanone,3,1999
108-95-2,Phenol,3,1999
108-99-6,β-Picoline,3,
109-99-9,Tetrahydrofuran,2B,
110-00-9,Furan,2B,1995
110-57-6,"trans-1,4-Dichlorobutene",3,1999
110-86-1,Pyridine,2B,
110-91-8,Morpholine,3,1999
111-42-2,Diethanolamine,2B,2013
111-44-4,Bis(2-chloroethyl)ether,3,1999
111-76-2,2-Butoxyethanol,3,2006
115-02-6,Azaserine,2B,1987
115-07-1,Propylene,3,1994
115-28-6,Chlorendic acid,2B,1990
115-32-2,Dicofol,3,1987
115-96-8,Tris(2-chloroethyl) phosphate,3,1999
116-06-3,Aldicarb,3,1991
116-14-3,Tetrafluoroethylene,2A,2017
117-10-2,"Dantron (Chrysazin; 1,8-Dihydroxyanthraquinone)",2B,1990
117-39-5,Quercetin,3,1999
117-79-3,2-Aminoanthraquinone,3,1987
117-81-7,Di(2-ethylhexyl)phthalate,2B,2013
118-74-1,Hexachlorobenzene,2B,2001
118-92-3,Anthranilic acid,3,1987
118-96-7,"2,4,6-Trinitrotoluene",3,1996
119-34-6,4-Amino-2-nitrophenol,3,1987
119-61-9,Benzophenone,2B,2013
119-90-4,"3,3'-Dimethoxybenzidine (ortho-Dianisidine)",2B,1987
119-93-7,"3,3'-Dimethylbenzidine (ortho-Tolidine)",2B,1987
120-12-7,Anthracene,3,2010
120-58-1,Isosafrole,3,1987
120-71-8,para-Cresidine,2B,1987
120-80-9,Catechol,2B,1999
121-14-2,"2,4-Dinitrotoluene",2B,1996
121-66-4,2-Amino-5-nitrothiazole,3,1987
121-69-7,"N,N-Dimethylaniline",3,1993
121-75-5,Malathion,2A,2017
121-88-0,2-Amino-5-nitrophenol,3,1993
122-34-9,Simazine,3,1999
122-42-9,Propham,3,1987
122-60-1,Phenyl glycidyl ether,2B,1999
123-31-9,Hydroquinone,3,1999
123-33-1,Maleic hydrazide,3,1987
123-35-3,β-Myrcene,2B,
123-91-1,"1,4-Dioxane",2B,1999
124-48-1,Chlorodibromomethane,3,1999
124-58-3,Methylarsonic acid,2B,2012
125-33-7,Primidone,2B,2016
126-07-8,Griseofulvin,2B,2001
126-72-7,"Tris(2,3-dibromopropyl) phosphate",2A,1999
126-85-2,Nitrogen mustard N-oxide,2B,1987
126-99-8,Chloroprene,2B,1999
127-07-1,Hydroxyurea,3,2000
127-18-4,Tetrachloroethylene (Perchloroethylene),2A,2014
127-69-5,"N,N-Dimethylacetamide",2B,
127-69-5,Sulfafurazole (Sulfisoxazole),3,1987
